Date,Company Code,Company Name,Stock Price,Change Value,Change Percentage
5/23/24,TSLA,Tesla Inc,$180.11 ,($6.49),3.48%
5/23/24,PLUG,Plug Power Inc,$3.41 ,$0.33 ,10.71%
5/23/24,NVDA,NVIDIA Corp,$949.50 ,($4.36),0.46%
5/23/24,ABEV,Ambev SA,$2.30 ,($0.02),0.86%
5/23/24,MARA,Marathon Digital Holdings Inc,$21.24 ,($0.11),0.52%
5/23/24,AMD,"Advanced Micro Devices, Inc.",$165.52 ,$0.86 ,0.52%
5/23/24,PFE,Pfizer Inc,$29.60 ,$1.04 ,3.64%
5/23/24,GME,GameStop Corp,$21.12 ,($1.00),4.52%
5/23/24,BAC,Bank of America Corp,$39.76 ,$0.11 ,0.28%
5/23/24,TLT,iShares 20+ Year Treasury Bond ETF,$91.70 ,$0.11 ,0.12%
5/23/24,CLSK,CleanSpark Inc,$18.44 ,$0.02 ,0.11%
5/23/24,RIVN,Rivian Automotive Inc,$10.70 ,$0.65 ,6.47%
5/23/24,WBD,Warner Bros Discovery Inc,$8.06 ,$0.17 ,2.15%
5/23/24,NIO,Nio Inc - ADR,$5.24 ,($0.01),0.19%
5/23/24,INTC,Intel Corp,$31.42 ,($0.32),1.01%
5/23/24,F,Ford Motor Co,$12.03 ,($0.12),0.99%
5/23/24,SIRI,Sirius XM Holdings Inc,$2.80 ,($0.09),3.11%
5/23/24,GRAB,Grab Holdings Ltd,$3.70 ,($0.02),0.54%
5/23/24,T,AT&T Inc,$17.50 ,$0.23 ,1.33%
5/23/24,NVAX,Novavax Inc,$15.70 ,$0.79 ,5.30%
5/23/24,BE,Bloom Energy Corp,$17.00 ,$1.87 ,12.36%
5/23/24,PDD,PDD Holdings Inc - ADR,$147.09 ,$1.64 ,1.13%
5/23/24,CCL,Carnival Corp,$15.65 ,($0.55),3.40%
5/23/24,AMZN,Amazon.com Inc,$183.13 ,($0.02),0.01%
5/23/24,JD,JD.Com Inc,$32.68 ,($0.61),1.83%
5/23/24,FCX,Freeport-McMoRan Inc,$51.23 ,($3.09),5.69%
5/23/24,KGC,Kinross Gold Corporation,$7.93 ,($0.29),3.53%
5/23/24,PLTR,Palantir Technologies Inc,$21.17 ,($0.07),0.33%
5/23/24,QQQ,Invesco QQQ Trust Series 1,$455.71 ,($0.09),0.02%
5/23/24,DNN,Denison Mines Corp,$2.25 ,($0.03),1.32%
5/23/24,UBER,Uber Technologies Inc,$65.48 ,$1.51 ,2.36%
5/23/24,PBR,Petroleo Brasileiro ADR Reptg 2 Ord Shs,$15.00 ,($0.02),0.13%
5/23/24,SBUX,Starbucks Corp,$80.72 ,$3.00 ,3.86%
5/23/24,VALE,Vale SA,$12.65 ,($0.23),1.79%
5/23/24,GOLD,Barrick Gold Corp,$17.29 ,($0.51),2.87%
5/23/24,HOOD,Robinhood Markets Inc,$19.66 ,($1.30),6.20%
5/23/24,XP,XP Inc,$17.99 ,($3.46),16.13%
5/23/24,IBIT,iShares Bitcoin Trust,$39.71 ,$0.24 ,0.61%
5/23/24,NU,Nu Holdings Ltd,$11.70 ,($0.32),2.66%
5/23/24,RIOT,Riot Platforms Inc,$10.79 ,$0.18 ,1.70%
5/23/24,CSCO,Cisco Systems Inc,$47.43 ,$0.49 ,1.04%
5/23/24,BABA,Alibaba Group Holding Ltd - ADR,$82.68 ,($3.45),4.01%
5/23/24,AAL,American Airlines Group Inc,$14.10 ,$0.07 ,0.50%
5/23/24,VFC,VF Corp,$12.33 ,($0.13),1.04%
5/23/24,TGT,Target Corp,$143.27 ,($12.51),8.03%
5/23/24,SHOP,Shopify Inc,$58.70 ,$1.68 ,2.95%
5/23/24,RUN,Sunrun Inc,$12.92 ,$0.95 ,7.94%
5/23/24,MSFT,Microsoft Corp,$430.52 ,$1.48 ,0.34%
5/23/24,GOOGL,Alphabet Inc Class A,$176.38 ,($1.47),0.83%
5/23/24,XOM,Exxon Mobil Corp,$115.48 ,($2.37),2.01%